bjd,nzp,tzp_med,tzp_gauss,tzp_weight,tzp_mean,t1,t2,t3,t4,t5,t6,t7,t8
2458362.6056,-0.3513745806457016,96.68481951367642,96.4331730019821,96.53772357116402,97.4663738925614,10.867333333333306,10.694750000000056,10.6937272727273,10.52418181818183,10.471833333333336,10.39241666666669,10.48681818181825,10.360000000000014
2458365.6261,-0.3396906142135528,95.25141153396387,95.50900771227374,93.82881793273272,94.82216729352992,10.870181818181834,10.69736363636366,10.69616666666667,10.527166666666687,10.473545454545444,10.394000000000062,10.487916666666706,10.361909090909194
2458382.4413,1.5396973856609688,96.58261056056884,96.61348250634444,96.1424913214964,96.98911058178828,10.86554545454544,10.692916666666632,10.691727272727292,10.52325000000002,10.470583333333366,10.391818181818223,10.486454545454592,10.359500000000082
2458384.5614,1.7903830048595053,96.10037039753648,96.14700281747398,94.93650901788205,95.71769440562096,10.868272727272767,10.695636363636368,10.694500000000062,10.525750000000071,10.473818181818215,10.394727272727266,10.489250000000084,10.362818181818229
2458390.5309,-0.3632903329646939,96.10737954742883,96.586933008534,95.20264404760168,96.12405932981714,10.866999999999962,10.694727272727334,10.69318181818187,10.524272727272717,10.471083333333295,10.39241666666669,10.486454545454592,10.36000000000007
2458392.5294,0.0075753580999815,96.44717424465966,96.69661583543925,95.1056645208449,95.881939048183,10.866454545454587,10.69450000000012,10.692818181818213,10.523500000000013,10.47075000000001,10.392272727272768,10.48590909090916,10.36000000000007
2458394.5157,0.099430886709369,96.25797994886052,96.56594096740874,95.11251166728736,96.02013748325196,10.86000000000007,10.688181818181874,10.686000000000035,10.518166666666673,10.46472727272726,10.38609090909091,10.480416666666711,10.354000000000042
2458396.5171,-1.7266978880329884,97.14805221275763,97.25115996810408,96.44880802862517,97.51681191717826,10.86191666666673,10.689250000000015,10.688090909090988,10.519272727272664,10.466916666666693,10.387749999999984,10.482000000000028,10.355500000000063
2458398.5206,-0.2925408629200147,96.64802227485134,97.03573365105612,95.1852982097765,95.90617215876898,10.857000000000028,10.683666666666738,10.682727272727275,10.514454545454498,10.462166666666633,10.383000000000038,10.477272727272748,10.350833333333412
2458416.4936,0.1332861969710697,96.63374056190462,96.8691361166803,96.28795642220608,97.15496603151855,10.821000000000026,10.648454545454513,10.647250000000042,10.478545454545497,10.425363636363612,10.346916666666688,10.44083333333333,10.314272727272735
2458711.6063,0.9474902822358784,94.81445205695532,94.80051861651482,94.43830725724644,95.37180369062987,10.928363636363656,10.756090909090917,10.754250000000011,10.585833333333367,10.532272727272757,10.454363636363668,10.547999999999943,10.421727272727251
2458718.6362,0.5865726368357906,94.96644862390946,94.90745394337804,94.087570868603,95.07225035193164,10.926363636363646,10.753272727272815,10.752500000000111,10.583333333333371,10.529545454545485,10.450181818181818,10.54475000000008,10.417272727272746
2458719.5961,-0.3934981821019337,95.2695967576166,95.5109888945744,93.72138394736685,94.4763150105529,10.921833333333382,10.74875000000003,10.747727272727277,10.578636363636347,10.525000000000034,10.445833333333384,10.54036363636368,10.413166666666656
2458723.6464,0.2766558637818971,95.87105295181404,95.7409928228637,94.9070210622122,95.83362128515382,10.905818181818232,10.733000000000004,10.73191666666662,10.562416666666763,10.50933333333336,10.430363636363666,10.524916666666684,10.398166666666668
2458743.5767,-0.2485721008429676,95.46639060435687,95.04604993129084,95.00664797663222,95.84207663399172,10.870909090909208,10.69816666666668,10.697000000000005,10.527916666666728,10.475250000000074,10.396545454545503,10.489999999999952,10.364083333333385
2458759.5385,-0.8574178668595053,96.4155222783926,95.9709934417821,96.34035990825495,97.25101629067562,10.886000000000024,10.713333333333368,10.712000000000046,10.54400000000004,10.48991666666666,10.41175000000004,10.505999999999972,10.379166666666665
2458760.5161,-0.811756776120308,95.52265148670892,95.78251383488252,94.26563628050349,95.07847880565384,10.889181818181784,10.716416666666705,10.715083333333324,10.547000000000024,10.493583333333332,10.41427272727276,10.508750000000076,10.38225
2458765.4861,-1.4743279692551643,95.9861605261639,95.48603769709176,94.66450005777878,95.49942454576858,10.889999999999986,10.717909090909131,10.716499999999996,10.54800000000006,10.494000000000083,10.415416666666658,10.50933333333336,10.38299999999998
2458772.4787,0.2271997725309476,95.13545685933006,95.71870629119364,93.58345320437536,94.14526379993426,10.892818181818257,10.719818181818198,10.71841666666677,10.549833333333368,10.496090909090924,10.41700000000003,10.511000000000024,10.384181818181844
2458773.4888,0.0094749129121689,96.23404753979312,96.76992943483008,95.50532158883236,96.23917243218784,10.890818181818249,10.71809090909096,10.716333333333353,10.547583333333309,10.494818181818175,10.415818181818167,10.509833333333347,10.382818181818209
