order,wll
107,5726.68
107,5727.9
107,5730.52
107,5731.61
107,5732.49
107,5733.07
107,5733.46
107,5733.91
107,5734.32
107,5735.95
107,5737.98
107,5738.86
107,5741.31
107,5752.15
107,5753.33
107,5756.76
107,5757.2
107,5758.91
107,5759.74
107,5759.95
106,5730.52
106,5733.46
106,5734.32
106,5735.95
106,5738.86
106,5741.31
106,5742.91
106,5752.15
106,5753.33
106,5756.76
106,5757.2
106,5758.91
106,5759.74
106,5759.95
106,5769.05
106,5779.16
106,5782.19
106,5783.55
106,5788.85
106,5789.2
106,5793.62
106,5795.39
106,5798.13
106,5802.2
106,5802.39
106,5803.1
106,5803.71
106,5806.8
106,5811.18
106,5815.43
106,5816.03
105,5782.19
105,5784.41
105,5789.2
105,5793.62
105,5795.39
105,5802.39
105,5803.1
105,5806.8
105,5811.18
105,5815.43
105,5816.03
105,5819.52
105,5822.64
105,5823.49
105,5835.24
105,5836.79
105,5842.11
105,5846.87
105,5847.83
105,5858.07
105,5861.31
105,5863.63
105,5865.03
105,5867.89
104,5835.24
104,5837.64
104,5846.87
104,5847.83
104,5861.31
104,5863.63
104,5876.39
104,5886.03
104,5892.17
104,5892.42
104,5892.99
104,5894.25
104,5896.95
104,5899.02
104,5900.41
104,5901.24
104,5912.0
104,5913.19
104,5916.25
104,5921.31
104,5925.37
104,5927.1
103,5892.99
103,5894.25
103,5900.41
103,5901.24
103,5906.76
103,5906.97
103,5909.39
103,5913.19
103,5921.31
103,5924.54
103,5927.1
103,5930.96
103,5935.46
103,5937.15
103,5944.42
103,5949.32
103,5950.21
103,5951.31
103,5955.3
103,5956.02
103,5956.55
103,5958.51
103,5970.43
103,5970.71
103,5977.98
103,5980.35
103,5981.82
103,5984.22
103,5984.53
102,5949.32
102,5950.21
102,5951.31
102,5956.02
102,5956.55
102,5970.71
102,5977.98
102,5980.35
102,5985.42
102,5987.23
102,5987.76
102,5994.64
102,5995.41
102,5998.41
102,5999.62
102,6001.07
102,6006.48
102,6006.9
102,6008.02
102,6012.53
102,6018.41
102,6019.05
102,6020.86
102,6023.04
102,6029.24
102,6029.79
102,6030.3
102,6032.87
102,6036.26
102,6037.22
102,6041.29
101,6012.53
101,6018.41
101,6020.86
101,6029.24
101,6029.79
101,6030.3
101,6041.29
101,6048.44
101,6050.02
101,6052.16
101,6052.35
101,6053.02
101,6053.42
101,6058.49
101,6058.76
101,6061.86
101,6062.17
101,6078.97
101,6086.22
101,6087.44
101,6089.23
101,6089.8
101,6092.97
101,6101.41
101,6101.59
101,6102.84
101,6103.17
101,6103.47
100,6078.97
100,6087.44
100,6092.97
100,6101.59
100,6102.84
100,6106.67
100,6109.43
100,6115.32
100,6115.97
100,6122.34
100,6123.13
100,6126.72
100,6131.9
100,6134.32
100,6142.08
100,6153.97
100,6155.38
100,6156.08
100,6166.22
99,6131.42
99,6131.9
99,6134.32
99,6140.25
99,6142.08
99,6153.97
99,6167.53
99,6169.31
99,6170.67
99,6171.2
99,6171.71
99,6173.57
99,6174.61
99,6177.1
99,6178.18
99,6196.34
99,6198.24
99,6199.7
99,6200.12
99,6222.01
99,6223.3
99,6223.87
98,6196.34
98,6200.12
98,6205.09
98,6212.93
98,6221.41
98,6222.01
98,6223.3
98,6223.87
98,6225.03
98,6229.7
98,6232.94
