wlc,wll,posc,posm,posme,posmy,d,sd,k,order,flag
5170.93102965,5170.94081274,0.00000000,1333.44994921,0.32764033,20.94330518,0.01998410,0.01998413,38647,118,1
5171.08492470,5171.07462211,0.00000000,1339.87062763,0.09868942,21.10310858,0.01998418,0.01998413,38646,118,1
5171.21472351,5171.20843841,0.00000000,1345.28971158,0.15073349,21.23723266,0.01998416,0.01998414,38645,118,1
5171.21472351,5171.20843841,0.00000000,1345.28971158,0.15073349,21.23723266,0.01998416,0.01998414,38645,118,1
5171.53896774,nan,0.00000000,1358.84181917,0.05418981,21.56965142,0.01998490,0.01998414,38644,118,1
5171.53896774,5171.34226164,0.00000000,1358.84181917,0.05418981,21.56965142,0.01998490,0.01998414,38644,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,21.74350878,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,21.79187200,nan,0.00000000,-2147483648,118,1
5171.88426230,5171.87762386,0.00000000,1373.29732418,0.19724086,21.91952174,0.01998416,0.01998414,38640,118,1
5171.88426230,5171.87762386,0.00000000,1373.29732418,0.19724086,21.91952174,0.01998416,0.01998414,38640,118,1
5172.01202068,5172.01148175,1378.63416298,1378.65675818,0.07794338,22.04800701,0.01998414,0.01998414,38639,118,0
5172.01202068,5172.01148175,1378.63416298,1378.65675818,0.07794338,22.04800701,0.01998414,0.01998414,38639,118,0
5172.26856962,5172.27921833,0.00000000,1389.41482290,0.09913677,22.30391461,0.01998409,0.01998414,38637,118,1
5172.26856962,nan,0.00000000,1389.41482290,0.09913677,22.30391461,0.01998409,0.01998414,38637,118,1
5172.41471949,5172.41309703,1395.49005146,1395.55821681,0.62341968,22.44885427,0.01998414,0.01998414,38636,118,0
5172.41471949,5172.41309703,1395.49005146,1395.55821681,0.62341968,22.44885427,0.01998414,0.01998414,38636,118,0
nan,nan,0.00000000,-1.00000000,0.00000000,22.57651627,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,22.62326459,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,22.66992118,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,22.71648608,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,22.80934105,nan,0.00000000,-2147483648,118,1
5172.94767912,5172.94868116,1418.02057957,1417.97837409,0.08538405,22.97045915,0.01998413,0.01998414,38632,118,0
5173.07756103,5173.08259453,0.00000000,1423.44297805,0.01097229,23.09585077,0.01998412,0.01998414,38631,118,1
5173.21598813,5173.21651485,1429.30867766,1429.28646508,0.13226545,23.22918337,0.01998413,0.01998414,38630,118,0
nan,nan,0.00000000,-1.00000000,0.00000000,23.35879975,nan,0.00000000,-2147483648,118,1
5173.46812267,5173.48437630,0.00000000,1439.91978938,0.17562535,23.46981531,0.01998407,0.01998414,38628,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,23.60625775,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,23.71783284,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,23.76230465,nan,0.00000000,-2147483648,118,1
5173.87736123,5173.88622052,0.00000000,1457.21894070,0.19919355,23.85582043,0.01998410,0.01998414,38625,118,1
5174.02031808,5174.02018248,1463.26565878,1463.27139964,0.13463283,23.98927651,0.01998414,0.01998414,38624,118,0
5174.14851273,5174.15415138,0.00000000,1468.70044164,0.08324608,24.10828463,0.01998411,0.01998414,38623,118,1
5174.14851273,5174.15415138,0.00000000,1468.70044164,0.08324608,24.10828463,0.01998411,0.01998414,38623,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,24.24554483,nan,0.00000000,-2147483648,118,1
5174.41036004,5174.42211002,0.00000000,1479.80279931,0.09272329,24.34959420,0.01998409,0.01998414,38621,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,24.52598790,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,24.59016873,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,24.67543067,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,24.73914299,nan,0.00000000,-2147483648,118,1
5174.95048387,nan,0.00000000,1502.75040460,0.05843581,24.83961939,0.01998411,0.01998414,38617,118,1
5174.95048387,nan,0.00000000,1502.75040460,0.05843581,24.83961939,0.01998411,0.01998414,38617,118,1
5175.08812559,5175.09212815,0.00000000,1508.60824560,0.05612923,24.96282821,0.01998412,0.01998414,38616,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,25.09639761,nan,0.00000000,-2147483648,118,1
5175.35043617,5175.36018403,0.00000000,1519.78314519,0.06252526,25.19575923,0.01998410,0.01998414,38614,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,25.32414702,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,25.36526855,nan,0.00000000,-2147483648,118,1
5175.63589150,5175.62826770,0.00000000,1531.96099351,0.40219805,25.44644900,0.01998417,0.01998414,38612,118,1
5175.75999080,5175.76231996,0.00000000,1537.26073696,0.34640929,25.55452596,0.01998413,0.01998414,38611,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,25.67086850,nan,0.00000000,-2147483648,118,1
5176.02394881,5176.03044534,0.00000000,1548.54441894,0.09887406,25.78257366,0.01998411,0.01998414,38609,118,1
5176.15650649,5176.16451845,0.00000000,1554.21674962,0.30736184,25.89615772,0.01998411,0.01998414,38608,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,26.01123709,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,26.05086425,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,26.14954969,nan,0.00000000,-2147483648,118,1
5176.56396771,5176.56677952,0.00000000,1571.67677811,0.22774737,26.24136170,0.01998413,0.01998414,38605,118,1
5176.70121217,5176.70088045,1577.55698588,1577.57122624,0.14001517,26.35639924,0.01998414,0.01998414,38604,118,0
5176.70121217,5176.70088045,1577.55698588,1577.57122624,0.14001517,26.35639924,0.01998414,0.01998414,38604,118,0
5176.70121217,5176.70088045,1577.55698588,1577.57122624,0.14001517,26.35639924,0.01998414,0.01998414,38604,118,0
5176.95924277,5176.96910317,0.00000000,1588.64967652,0.08959892,26.57056398,0.01998410,0.01998414,38602,118,1
5177.09900049,5177.10322496,0.00000000,1594.65910155,0.20204025,26.68562168,0.01998412,0.01998414,38601,118,1
5177.23660535,5177.23735371,1600.61690176,1600.58469127,0.36051384,26.79830842,0.01998413,0.01998414,38600,118,0
5177.23660535,5177.23735371,1600.61690176,1600.58469127,0.36051384,26.79830842,0.01998413,0.01998414,38600,118,0
5177.23660535,5177.23735371,1600.61690176,1600.58469127,0.36051384,26.79830842,0.01998413,0.01998414,38600,118,0
nan,nan,0.00000000,-1.00000000,0.00000000,26.90062720,nan,0.00000000,-2147483648,118,1
5177.50505350,5177.50563209,1612.17211987,1612.14718157,0.23980380,27.01600712,0.01998413,0.01998414,38598,118,0
5177.61897620,5177.63978171,0.00000000,1617.05579154,0.13234788,27.10755475,0.01998406,0.01998414,38597,118,1
5177.77397960,5177.77393829,1623.74529351,1623.74707656,0.19922908,27.23151495,0.01998414,0.01998414,38596,118,0
5177.90763231,5177.90810184,1629.53869512,1629.51841305,0.18886468,27.33765996,0.01998414,0.01998414,38595,118,0
