bjd,rvc,e_rvc,avc,e_avc,nzp_date,e_nzp_date,nzp,e_nzp,tzp_pix,tzp_median,tzp_gauss,tzp_weighted,tzp_mean,dd_m_date,dd_moes_date,dd_moes_obs,pix2ms,t1,t2,t3,t4,t5,t6,t7,t8,pressure,starid,spt
2458175.7424,-13.495569,0.777694,-0.520320168652069,1.1353079530124734,-0.5747599032224947,0.8219399208578662,-1.437556230048827,0.8271131667053625,[0.11175322 0.0848804  0.1156727  ... 0.11737963 0.09530809 0.04489189],97.81738227885933,97.81544945152697,97.41654894333026,98.11797501260261,0.07834996999999078,0.07614082657494237,0.07612694067677239,1257.9935888666482,10.78350000000006,10.611250000000041,10.610333333333358,10.440999999999974,10.393363636363631,10.314818181818225,10.40825000000001,10.282166666666683,1.7877500000000003e-05,J17578+046,['M3.5 V']
2458177.7142,-7.543986,2.783287,0.2940916286985532,3.193113065162344,4.806110254200352,1.3318362757734432,3.6996149726005503,1.5650190166708706,[0.08706659 0.06545298 0.10260198 ... 0.12094508 0.00548485 0.08432142],96.95553347098287,96.95517638234588,96.55416463828497,97.3186284408338,0.07784504000005654,0.07738270005916092,0.07736166886117246,1259.6540909428863,10.772333333333393,10.59899999999999,10.597833333333313,10.429454545454576,10.380999999999972,10.302363636363623,10.396500000000003,10.269833333333338,1.7964999999999998e-05,J17578+046,['M3.5 V']
2458184.7417,-11.676135,1.513789,-1.0897522084462534,2.303761931418382,1.9490818300521,1.7490099882118055,0.951309809745357,1.7365949153822704,"[ 0.07068876  0.06938175  0.08196145 ...  0.12221396 -0.01512177
  0.08279782]",97.78634429486998,97.87068409402822,97.2854665300967,98.04829976269788,0.07829461500000434,0.07796077458806394,0.07796204234796278,1258.996344779126,10.757250000000056,10.585000000000093,10.583833333333416,10.41491666666667,10.367416666666657,10.288999999999987,10.383090909090924,10.256166666666672,1.8953636363636367e-05,J17578+046,['M3.5 V']
2458186.6812,-10.401221,1.49157,1.9167933104069443,1.7118043343390623,0.4048644712145308,0.7685526503743257,-0.7803217091078403,0.8399363155394582,[0.07741917 0.0762218  0.08581447 ... 0.15815369 0.03212181 0.06175606],96.96934222695924,96.9365516706081,96.37640602725915,97.14878211140679,0.07761205999997856,0.07813733323018823,0.07814238071000545,1258.0165055433995,10.759636363636389,10.587249999999983,10.585727272727297,10.417818181818234,10.368272727272767,10.29000000000002,10.384916666666697,10.258090909090981,1.9683636363636365e-05,J17578+046,['M3.5 V']
2458188.6916,-5.216604,2.132079,3.134128145246947,2.27114589795765,4.529335477124319,0.7407387906012494,3.1869604560521565,0.7825233718994357,[0.0876487  0.07104961 0.10863651 ... 0.15067538 0.094194   0.06692056],96.54517356863181,96.87285272915922,95.94569526916197,96.58129717432716,0.07778129999996963,0.0778237266247288,0.07781899421593153,1258.1670280564963,10.764181818181783,10.591583333333404,10.590727272727293,10.42245454545457,10.37336363636365,10.294583333333378,10.388499999999965,10.262000000000057,1.8900833333333334e-05,J17578+046,['M3.5 V']
2458199.69,-14.330226,1.237556,-2.274856337055453,1.3946717390031254,0.3959871630649868,0.6254449342696125,-0.5176770616454429,0.6430897343590561,[0.09799972 0.06636227 0.10901851 ... 0.13997209 0.0590157  0.08643497],97.98612485249073,98.15266429692154,96.94083091033119,97.5479529069867,0.07848929000010685,0.07783512850687657,0.07784457748607565,1258.9235876953007,10.759583333333296,10.58716666666669,10.585833333333369,10.417500000000075,10.3692727272728,10.290454545454566,10.384750000000054,10.258500000000083,2.067e-05,J17578+046,['M3.5 V']
2458200.6896,-13.376373,1.05896,-1.0053905499606208,1.4871891067432237,-0.3274044028764772,0.7859932714359581,-0.8332898487402745,1.0441911499412873,[0.10207341 0.08708624 0.10475657 ... 0.13016034 0.07241054 0.0738948 ],97.86247994499708,98.51564340724968,97.18406589214686,97.8641704823965,0.0787349100000938,0.07762603565015525,0.07763962753460874,1258.025780650474,10.763916666666603,10.591583333333347,10.59041666666667,10.42216666666667,10.373454545454592,10.29454545454547,10.388916666666603,10.262999999999977,2.014e-05,J17578+046,['M3.5 V']
2458202.6828,-9.471769,2.085924,2.9455922764735374,2.5049815832905917,0.661561415427027,1.1893029332167229,-0.8796686751744338,1.38703056882285,[0.06565153 0.06815038 0.07781447 ... 0.10426611 0.06396159 0.06261504],98.45772745724068,98.61408093159181,97.76728035620816,98.49081646782024,0.07877615999996124,0.07872592165495007,0.0787248338747304,1258.0138898588375,10.764666666666642,10.592083333333392,10.591416666666703,10.422583333333307,10.373250000000041,10.295181818181902,10.388454545454522,10.262666666666632,1.9865454545454546e-05,J17578+046,['M3.5 V']
2458207.7125,-11.661066,1.402557,-1.1680131465163366,1.8722388968858448,1.812452632658724,1.2506191841892371,1.0446397478154403,1.240206575036322,[0.09215987 0.10355703 0.09035875 ... 0.0887806  0.00901194 0.05070372],96.93557767680932,97.08512317215583,96.66555555765228,97.3683260937963,0.07810845500000596,0.07736035780646944,0.07734871916863995,1258.836057097367,10.759250000000009,10.586818181818217,10.585583333333375,10.416833333333386,10.367999999999995,10.28936363636359,10.383090909090924,10.257000000000005,2.149e-05,J17578+046,['M3.5 V']
2458212.6147,-14.660272,1.275811,-1.6793724248194049,1.3878833107976656,-0.7060311403442127,0.6464436927707502,-1.4432069738814923,0.5463756735705659,"[ 0.08885632  0.07052006  0.11101062 ...  0.08490865 -0.00800534
  0.0671907 ]",97.35278047119058,97.2228846162221,96.63034553458718,97.4267930126248,0.07818381500010219,0.07728332152964867,0.07727506638025261,1259.7485757710292,10.747818181818275,10.57545454545459,10.574583333333408,10.405416666666667,10.356249999999989,10.277583333333325,10.371727272727298,10.245545454545436,2.0725454545454545e-05,J17578+046,['M3.5 V']
