bjd,rvc,e_rvc,avc,e_avc,nzp_date,e_nzp_date,nzp_obs,e_nzp_obs,tzp_pix,tzp_pix_w,tzp_rv,tzp_rv_w,pix2ms,t1,t2,t3,t4,t5,t6,t7,t8,pres,star,spt
2458355.529200,-4.023246,1.310535,-1.735909,1.515815,0.032701,0.819809,-1.291325,0.761704,0.003052,-0.000083,3.800795,-0.143276,1258.276668,10.862500,10.689333,10.688455,10.518727,10.467182,10.387917,10.481917,10.355818,0.000013,J23492+024,M1.0 V
2458356.501900,-1.789505,1.060856,-1.659390,1.222831,2.017269,0.522321,0.865897,0.608194,0.004719,-0.000271,5.898761,-0.379940,1258.644453,10.860333,10.687583,10.685818,10.516182,10.464818,10.385417,10.479333,10.353091,0.000013,J23492+024,M1.0 V
2458357.482900,-0.220880,1.772176,1.693020,1.865905,-0.088027,0.572609,-0.917888,0.583948,0.002461,0.000003,3.055937,-0.034207,1257.489223,10.858000,10.685636,10.684083,10.515333,10.463182,10.384182,10.477917,10.351455,0.000013,J23492+024,M1.0 V
2458360.580300,0.927979,1.006324,1.078119,1.410835,2.052229,0.983934,0.845872,0.988821,0.003522,0.000188,4.384717,0.195112,1257.075366,10.860000,10.687364,10.686250,10.516917,10.464273,10.385364,10.479250,10.353000,0.000011,J23492+024,M1.0 V
2458361.564400,-2.921173,1.014156,-0.544624,1.540305,0.070932,1.047058,-1.380536,1.159321,0.003077,0.000122,3.829556,0.114729,1258.136536,10.864583,10.692667,10.691091,10.521545,10.468833,10.389750,10.484364,10.357333,0.000013,J23492+024,M1.0 V
2458362.670400,-2.754694,0.772921,-2.225500,1.078156,0.705481,0.915592,0.466818,0.751674,0.002484,0.000057,3.069463,0.020030,1257.304877,10.867545,10.694917,10.694000,10.524417,10.471917,10.393273,10.486636,10.359917,0.000014,J23492+024,M1.0 V
2458365.641800,-1.153707,1.078145,0.153496,1.205035,0.984566,0.473290,-0.311191,0.538250,0.005651,-0.000033,7.023365,-0.126449,1258.593980,10.870250,10.697500,10.696091,10.527182,10.473583,10.393667,10.488000,10.361917,0.000014,J23492+024,M1.0 V
2458366.578500,-3.602154,0.873513,-1.412876,1.236579,-0.271617,0.813381,-1.193266,0.875273,0.003863,-0.000001,4.801949,-0.058717,1258.569861,10.870364,10.698091,10.696333,10.527833,10.474818,10.396364,10.490083,10.363818,0.000016,J23492+024,M1.0 V
2458381.567000,1.442696,0.978338,1.353645,1.169035,3.079026,0.508361,1.085064,0.639920,0.002279,-0.000141,2.815405,-0.229656,1259.384991,10.863000,10.690417,10.688909,10.520636,10.468833,10.389667,10.484182,10.357667,0.000015,J23492+024,M1.0 V
2458382.468400,1.507191,1.111693,0.984991,1.478387,2.862574,0.908415,1.518212,0.974559,0.004159,0.000396,5.162018,0.426089,1259.448678,10.865636,10.693167,10.692000,10.523667,10.470750,10.391636,10.486583,10.359583,0.000015,J23492+024,M1.0 V
2458383.493500,-0.762369,0.998570,2.133673,1.133428,-0.952621,0.573371,-1.900030,0.536205,0.003581,0.000396,4.417982,0.412196,1259.174730,10.868167,10.695750,10.694818,10.525909,10.473667,10.394833,10.489000,10.362500,0.000016,J23492+024,M1.0 V
2458384.493100,2.493828,1.087522,1.729650,1.316299,2.903823,0.746279,1.760190,0.741578,0.001645,0.000061,1.999143,0.008012,1259.024298,10.868364,10.696083,10.695000,10.526083,10.473750,10.394545,10.488636,10.362583,0.000018,J23492+024,M1.0 V
2458389.590100,-1.559466,1.223032,0.011781,1.936548,-0.257709,1.241933,-0.575234,1.501470,0.003965,0.000181,4.979997,0.221631,1257.506149,10.865750,10.693727,10.691909,10.523727,10.471750,10.392500,10.486727,10.359545,0.000016,J23492+024,M1.0 V
2458390.492300,-1.241745,0.799282,0.090666,0.962463,0.636543,0.507060,-0.336399,0.536174,0.003278,-0.000123,4.136967,-0.141183,1257.547918,10.866500,10.694250,10.692636,10.524091,10.470750,10.392083,10.486000,10.359417,0.000016,J23492+024,M1.0 V
2458391.627400,-1.773222,0.922999,-0.296874,1.071279,0.791722,0.611806,-0.480336,0.543794,0.005033,0.000365,6.316528,0.450291,1256.946798,10.867667,10.695083,10.694182,10.524909,10.472000,10.393167,10.487000,10.360667,0.000017,J23492+024,M1.0 V
2458392.549100,-1.166833,1.289102,-0.279308,1.441045,1.495676,0.576602,0.108488,0.644070,0.006656,-0.000560,8.366273,-0.705827,1257.238874,10.866273,10.693818,10.692250,10.523500,10.470636,10.392364,10.485500,10.359636,0.000017,J23492+024,M1.0 V
2458393.534300,-0.368697,0.808296,0.999592,1.107898,1.161373,0.538681,-0.372276,0.757691,0.002841,-0.000177,3.572726,-0.221897,1257.412715,10.862182,10.689500,10.688273,10.519583,10.467000,10.388000,10.482091,10.355417,0.000017,J23492+024,M1.0 V
2458394.482000,-0.553274,2.362702,0.597532,2.571182,0.674997,1.005641,-0.154794,1.014208,0.000760,-0.000289,0.945918,-0.373392,1257.576249,10.860273,10.687833,10.686273,10.517333,10.464417,10.385091,10.480000,10.353417,0.000018,J23492+024,M1.0 V
2458394.490700,-0.271010,1.196547,0.879796,1.568548,0.674997,1.005641,-0.154794,1.014208,0.000758,-0.000289,0.943225,-0.373417,1257.576410,10.860250,10.687909,10.686167,10.517364,10.464545,10.385333,10.479917,10.353636,0.000018,J23492+024,M1.0 V
2458395.400300,-3.736982,1.129772,-1.266554,2.186538,-0.857441,1.477503,-1.474416,1.872048,0.003532,-0.000311,4.419284,-0.413612,1257.562120,10.861417,10.688818,10.687667,10.519000,10.466455,10.387250,10.481667,10.355273,0.000017,J23492+024,M1.0 V
2458396.503500,-1.175264,1.180172,1.726423,1.396774,-1.216551,0.812371,-1.905674,0.747108,0.002049,0.000052,2.541982,0.032093,1257.388717,10.862083,10.689167,10.688091,10.519545,10.467167,10.387833,10.482273,10.355500,0.000014,J23492+024,M1.0 V
2458398.535000,-0.524387,1.060097,1.393037,1.667428,0.011432,1.140498,-0.921412,1.287055,0.004614,-0.000222,5.786823,-0.289952,1256.773010,10.857083,10.683727,10.682917,10.514000,10.462273,10.383167,10.477167,10.350727,0.000016,J23492+024,M1.0 V
