bjd,nzp,e_nzp,tzp,e_tzp,rvc,avc,star,spt,t1,t2,t3,t4,t5,t6,t7,t8
2458499.3389,-1.3269008914825051,0.5609055934567072,-0.5643026741189203,10.732910734141184,-5.712722,-0.3440882830873089,J22057+656,['M1.5 V'],10.71324999999996,10.540833333333351,10.53818181818184,10.36181818181825,10.312750000000053,10.230250000000012,10.321909090909005,10.19808333333333
2458205.691,-1.8289777791511013,0.8413679519278171,-0.7473818240637513,9.238530423194993,-1.586413,3.2583831195725708,J20450+444,['M1.5 V'],10.761909090909056,10.589833333333331,10.58845454545451,10.420000000000073,10.371181818181924,10.293166666666709,10.386583333333306,10.260454545454536
2458263.5297,-1.08739465067992,1.228699342510225,-0.05343579388200226,10.836156814604523,-7.04615,-2.94293700889861,J20450+444,['M1.5 V'],10.782666666666673,10.610166666666714,10.609272727272751,10.441000000000033,10.391454545454565,10.312272727272727,10.406500000000108,10.279999999999973
2458295.6001,1.13962009207638,0.8118319275423087,-0.5878810764216524,11.800237865472887,1.760021,3.6362192483450895,J20450+444,['M1.5 V'],10.818272727272756,10.645916666666665,10.644727272727266,10.476181818181828,10.4254545454545,10.346333333333405,10.43983333333341,10.314090909090964
2458322.4859,-1.7636022196677652,0.7122302790510479,0.8700384162566763,3.5713510020995067,-6.910637,-2.1312164399107654,J20450+444,['M1.5 V'],10.859636363636469,10.686916666666662,10.68590909090915,10.51616666666672,10.465000000000032,10.385166666666636,10.479636363636416,10.353416666666703
2458349.4147,-0.8175048917557608,0.5474764653988201,0.6582998037376768,4.008837144153221,-6.441283,-2.60795976782277,J20450+444,['M1.5 V'],10.87409090909091,10.701083333333372,10.699818181818216,10.530454545454518,10.478250000000005,10.399166666666702,10.493090909090938,10.366750000000025
2458392.4,0.1467780514759968,0.6396946185383164,0.3338112877780759,3.60110431859248,-4.235502,-1.3664617110545276,J20450+444,['M1.5 V'],10.867272727272734,10.694818181818276,10.693583333333322,10.52483333333339,10.471909090909037,10.392636363636427,10.486333333333391,10.360181818181845
2458537.7464,0.1840434823783193,0.6653976591738336,-0.8963669464269515,8.324434955753363,-5.653166,-2.8213911419568496,J20450+444,['M1.5 V'],10.781999999999982,10.60983333333337,10.608416666666642,10.439916666666647,10.389749999999992,10.311545454545469,10.40491666666668,10.279416666666693
2458678.5477,-0.3932846558025983,1.3455369422252514,1.6197025079355427,9.944145034784938,-1.33917,2.069932996224068,J20450+444,['M1.5 V'],11.035909090909058,10.863090909090886,10.86183333333338,10.68991666666676,10.63900000000001,10.558727272727252,10.651916666666692,10.526000000000067
2458681.4908,0.1226532435567309,0.6242710518668682,2.0498082020200314,5.098004851372522,-2.795526,0.0976390968647384,J20450+444,['M1.5 V'],10.973333333333414,10.800272727272784,10.79916666666668,10.628916666666669,10.57663636363634,10.496916666666664,10.590666666666664,10.4644545454546
2458686.6481,2.0443101811393145,1.6320087856655854,1.8160272521708123,5.89268600400235,-5.20745,-4.235941840717844,J20450+444,['M1.5 V'],10.934166666666613,10.761500000000012,10.760636363636364,10.591272727272724,10.539416666666682,10.4597500000001,10.5538181818182,10.42766666666671
2458690.4425,0.0738358718835424,0.7971676825777495,1.5345084244075338,10.792201677282137,8.887914,11.829896468537926,J20450+444,['M1.5 V'],10.932416666666654,10.759416666666652,10.7587272727273,10.589545454545489,10.537000000000091,10.458333333333371,10.552545454545452,10.4256666666667
2458694.3827,0.7707338678690663,0.7097428782986176,2.21831854409551,7.341396117542545,-1.507864,0.7372204725524033,J20450+444,['M1.5 V'],10.92241666666672,10.749250000000018,10.748636363636422,10.579454545454553,10.527500000000089,10.44825000000003,10.542272727272746,10.415166666666664
2458697.6152,-0.5865610957583901,0.798589340607803,1.6130966985765127,5.96651457766243,2.02983,5.63220943617986,J20450+444,['M1.5 V'],10.91558333333336,10.742727272727336,10.741250000000036,10.573181818181922,10.51981818181821,10.441250000000023,10.535000000000023,10.408181818181845
2458700.4619,1.071129390675035,0.7188260034153394,0.9455906151848694,3.079725823789739,-6.430705,-4.486016050253565,J20450+444,['M1.5 V'],10.91708333333338,10.743727272727313,10.742916666666702,10.574545454545444,10.521545454545503,10.44300000000004,10.53683333333339,10.41027272727274
2458706.469,0.7129579708845454,1.0054657114438672,1.3756401833826999,3.7026305898165934,-6.465812,-4.162951630463075,J20450+444,['M1.5 V'],10.915272727272736,10.742416666666657,10.74116666666663,10.572166666666648,10.519909090909096,10.441000000000088,10.534333333333336,10.40858333333341
2458710.4211,-0.3347509409340425,0.6035597259377824,1.7424389361090817,5.008060901555548,-6.526161,-3.175591718644488,J20450+444,['M1.5 V'],10.921416666666689,10.74866666666668,10.747545454545502,10.579545454545496,10.526583333333347,10.447833333333278,10.542272727272746,10.41508333333337
2458710.5444,-0.3347509409340425,0.6035597259377824,1.7410481379205436,5.007391244996017,-4.252925,-0.902355718644488,J20450+444,['M1.5 V'],10.922454545454627,10.749833333333356,10.74825000000004,10.58058333333338,10.527090909090989,10.448363636363638,10.542750000000126,10.415666666666652
2458714.3736,3.564430247889589,0.8801275839261288,1.847150272055302,10.34576368040006,-4.114026,-4.66263790746812,J20450+444,['M1.5 V'],10.926181818181874,10.753499999999974,10.75241666666676,10.583000000000084,10.530416666666667,10.45145454545451,10.545083333333425,10.419500000000028
2458351.6792,1.0609911873791218,0.8162818662759469,0.4676400467289028,6.701567829937176,-0.893154,-0.1044391232789461,J05127+196,['M2.0 V'],10.867249999999956,10.694750000000056,10.693454545454586,10.52309090909091,10.470363636363686,10.390750000000024,10.48483333333337,10.358727272727265
2458383.6308,-1.7358367331812934,0.5483098843417717,-0.2569074525687398,11.890058628759409,-3.865513,-0.2799702027185309,J05127+196,['M2.0 V'],10.868363636363654,10.695636363636424,10.694833333333406,10.526500000000055,10.473909090909103,10.394545454545437,10.48875000000004,10.362363636363682
2458417.6411,-1.1094683611756786,0.8370982371574454,-0.22919387950933867,8.869360541051,-5.909323,-2.9501485747241456,J05127+196,['M2.0 V'],10.816363636363633,10.64366666666666,10.642454545454598,10.474166666666749,10.421250000000043,10.342000000000098,10.436545454545524,10.310000000000002
2458478.5372,2.2034109402831064,0.6437551344099356,0.3858664761056332,7.308872563751932,-0.768643,-1.1223478761829306,J05127+196,['M2.0 V'],10.750833333333333,10.578250000000024,10.577181818181828,10.409181818181878,10.358666666666636,10.278999999999996,10.373272727272765,10.247750000000051
2458528.2838,-1.0253878455754954,0.551979919331256,-0.3492399950959424,9.854757315161471,-0.660158,2.214935909675671,J05127+196,['M2.0 V'],10.777090909090989,10.604083333333335,10.603000000000064,10.434833333333302,10.38491666666664,10.306090909090983,10.400181818181863,10.2738333333333
2458553.3388,-0.3897140372041267,0.489116797675338,-0.5583310697541748,9.497013146526816,-1.516073,0.7233471013043025,J05127+196,['M2.0 V'],10.778083333333312,10.605454545454563,10.604166666666686,10.435181818181832,10.38645454545457,10.30733333333336,10.40033333333338,10.275090909090975
2458762.7093,1.7834020443000684,0.7366579641170293,1.8142089209034395,4.614219396400776,-0.560518,-0.4942139801998928,J05127+196,['M2.0 V'],10.889090909090896,10.715909090909122,10.715250000000026,10.5462500000001,10.493000000000052,10.4134545454545,10.508416666666676,10.38154545454546
2458773.5437,-0.0416473705021554,0.6038117933549103,-0.07520912347845865,4.239893563467299,-0.970059,0.9212944346023312,J05127+196,['M2.0 V'],10.890666666666732,10.71772727272736,10.71674999999999,10.547818181818172,10.49527272727272,10.415500000000009,10.509750000000054,10.38336363636364
2458659.5873,0.3204984667300579,0.4677701413832887,1.5233427155355201,9.026461738867596,-15.896281,-5.115592395016528,J20567-104,['M2.5 V'],10.86363636363643,10.690363636363656,10.689166666666722,10.52133333333336,10.468272727272732,10.389272727272726,10.483166666666648,10.356363636363596
2458680.5779,1.2501057634735988,0.5127823604426999,2.39526043844576,11.091125948244208,-12.127272,-2.2761906917600685,J20567-104,['M2.5 V'],10.987333333333424,10.815000000000056,10.812999999999988,10.643333333333374,10.590909090909063,10.51174999999995,10.604916666666725,10.4790000000001
2458694.5017,1.170520419165059,0.5770820771742957,2.2196499438268233,7.341706242902904,-15.319113,-5.388446347451529,J20567-104,['M2.5 V'],10.922499999999957,10.75,10.748583333333386,10.579545454545496,10.5265454545455,10.448000000000036,10.542250000000024,10.415090909090909
2458697.4726,-0.3679922974006295,0.8441529047734916,1.6141016356659463,5.966397658678956,-8.650178,2.819001369114159,J20567-104,['M2.5 V'],10.91516666666672,10.742181818181848,10.741583333333324,10.572636363636434,10.519363636363607,10.440999999999974,10.535090909090911,10.408545454545504
2458701.4893,0.9809170182451068,0.7010596828957272,2.350516177837875,10.949166646964168,-7.202643,2.9176270534684225,J20567-104,['M2.5 V'],10.91833333333335,10.745727272727263,10.744333333333316,10.576272727272736,10.523181818181795,10.444333333333418,10.538333333333298,10.411818181818203
2458707.5056,-0.4472238707378331,0.6595545459053549,2.3684008490713353,5.946337719352451,-9.591188,1.957222942451362,J20567-104,['M2.5 V'],10.916416666666636,10.743454545454597,10.742333333333306,10.573636363636354,10.520090909090923,10.442166666666708,10.5356363636364,10.409090909090992
2458756.3459,2.1779578844310112,0.8180777312628744,-0.33443696514035537,5.321779936701048,-4.458602,4.464627187282519,J20567-104,['M2.5 V'],10.881166666666672,10.708416666666722,10.70745454545454,10.538636363636384,10.48475000000002,10.406166666666708,10.500000000000057,10.37375000000003
2458110.7315,-0.6825686842707713,0.7239142174226888,-0.4849317777878923,7.1549049572346215,-12.478498,-0.5493892002143856,J12111-199,['M3.0 V'],10.765666666666732,10.593181818181904,10.59258333333338,10.423999999999978,10.37427272727274,10.296083333333344,10.389749999999992,10.263818181818236
2458271.3628,-1.938672513521774,0.7881104260623384,-0.011499715412654155,11.782086878663304,-8.149248,5.0359646290366165,J12111-199,['M3.0 V'],10.778636363636394,10.606749999999977,10.605000000000077,10.436454545454636,10.385416666666686,10.306500000000028,10.400583333333373,10.273636363636342
2458600.4354,-0.2462119166191994,0.5016118609903107,0.03432040015353266,8.597070900830024,-11.663264,-0.1705119678659574,J12111-199,['M3.0 V'],10.782916666666663,10.61000000000007,10.608818181818208,10.440545454545545,10.38949999999994,10.31025000000011,10.404363636363598,10.278250000000014
2458615.4025,0.3844308976253346,0.6871880547430221,0.40901931448978246,13.18021554319093,-10.697154,0.164955217889509,J12111-199,['M3.0 V'],10.79790909090906,10.62518181818183,10.624083333333374,10.455916666666669,10.405272727272743,10.32763636363643,10.420583333333354,10.294454545454585
2458618.3871,-0.5297769992319085,0.6751924396031678,0.2971626297528758,7.44386830510421,-14.794284,-3.0179668852532475,J12111-199,['M3.0 V'],10.80733333333336,10.634909090909105,10.633416666666731,10.466363636363669,10.415454545454566,10.33716666666669,10.431750000000022,10.305090909090891
2458626.3964,-0.4624850965628412,0.6560691102798518,0.510622502071385,6.701120522313508,-10.66852,1.0405052120776852,J12111-199,['M3.0 V'],10.808250000000044,10.635545454545422,10.634416666666652,10.46674999999999,10.413363636363613,10.33516666666668,10.42908333333338,10.302818181818168
2458632.382,1.4124893659361712,1.4438443056410806,0.4303043264846451,7.406929780259874,-8.874199,0.9598517495786708,J12111-199,['M3.0 V'],10.811090909090922,10.638166666666734,10.637250000000051,10.469583333333333,10.4184166666667,10.339818181818202,10.433833333333324,10.307416666666713
2458060.6278,2.6260803318454373,0.6136833904211262,-0.03826652273804143,7.882816828827639,-1.810659,-10.594342736721169,J06105-218,['M0.5 V'],10.874166666666667,10.70150000000001,10.700909090909136,10.530818181818177,10.481583333333276,10.402636363636418,10.496636363636412,10.36983333333336
