x,theta
198.0,6.070738095582406
199.0,6.067371995270008
200.0,6.0640057356615245
201.0,6.084128764781369
202.0,6.076610705357368
203.0,6.0967120682892855
204.0,6.093345202825688
205.0,6.089978172498554
206.0,6.086610975220211
207.0,6.083243611547928
208.0,6.0798760831365755
209.0,6.076508389762665
210.0,6.073140533381078
211.0,6.093278942371441
212.0,6.0857600454443315
213.0,6.08238750010112
214.0,6.102508330813038
215.0,6.099139709403794
216.0,6.095770921445855
217.0,6.092401966294872
218.0,6.089032844524631
219.0,6.084623833738036
220.0,6.080215791016585
221.0,6.100370760549765
222.0,6.097005264966228
223.0,6.091554053942616
224.0,6.111690306726821
225.0,6.108320096053639
226.0,6.103909113256925
227.0,6.099499093484376
228.0,6.096128381921311
229.0,6.092757503931651
230.0,6.089386458640142
231.0,6.0860152448306195
232.0,6.1061898048980225
233.0,6.098656522583909
234.0,6.118809374415704
235.0,6.115437574083302
236.0,6.112065607131278
237.0,6.1086934693051305
238.0,6.105321162366273
239.0,6.101948687536968
240.0,6.0975346177283996
241.0,6.09312151930645
242.0,6.113312729574275
243.0,6.107859164237496
244.0,6.104481661777612
245.0,6.123611823230071
246.0,6.119197080065909
247.0,6.115823350329059
248.0,6.112449451517847
249.0,6.109075383172602
250.0,6.105701145342074
251.0,6.102326738799981
252.0,6.122533513367145
253.0,6.117076791853094
254.0,6.111615347630817
255.0,6.131804516943959
256.0,6.128429363136881
257.0,6.124010892502
258.0,6.119593385065507
259.0,6.116217721109933
260.0,6.112841887181261
261.0,6.109465884199537
262.0,6.129689403472426
263.0,6.124229418239196
264.0,6.118764706110852
265.0,6.138970614625492
266.0,6.135593867714697
267.0,6.131172966553422
268.0,6.126753026636258
269.0,6.12337576604569
270.0,6.119998333810976
271.0,6.116620731986799
272.0,6.136861043194813
273.0,6.131397788307623
274.0,6.125929802081799
275.0,6.146152494751995
276.0,6.142774153190324
277.0,6.138350816953782
278.0,6.133928442391607
279.0,6.130549582887227
280.0,6.12717055218306
281.0,6.123791349076576
282.0,6.144048497372765
283.0,6.136494599831167
284.0,6.133110700055738
285.0,6.152304561740721
286.0,6.147880094251846
287.0,6.1444999828763045
288.0,6.1411196966529715
289.0,6.137739237663119
290.0,6.1343586043636975
291.0,6.129932185651597
292.0,6.1491628864112755
293.0,6.1415999577656635
294.0,6.161853344930513
295.0,6.1584719903392084
296.0,6.1550904540974685
297.0,6.151708743331902
298.0,6.1472803977135655
299.0,6.142853015501679
300.0,6.139470782668184
301.0,6.136088373740421
302.0,6.156380480149309
303.0,6.1488125732384304
304.0,6.169082886037842
305.0,6.1656999246909905
306.0,6.161269483672797
307.0,6.156840003249968
308.0,6.153456514878542
309.0,6.150072850643561
310.0,6.145641755745608
311.0,6.1649016911568
312.0,6.159425661914398
313.0,6.153944884142518
314.0,6.1742332937338915
315.0,6.170848733391622
316.0,6.16746399561962
317.0,6.16303097419015
318.0,6.158598915295919
319.0,6.155213646916543
320.0,6.15182820236123
321.0,6.172151273432959
322.0,6.164578007792642
323.0,6.159089955362873
324.0,6.179396511862379
325.0,6.17601034883684
326.0,6.172624006447123
327.0,6.168188577444802
328.0,6.1637541107125955
329.0,6.160367234759683
330.0,6.156980180210674
331.0,6.17732146354335
332.0,6.169739114454529
333.0,6.189008801659767
334.0,6.184572594480471
335.0,6.18118482488989
336.0,6.177796875423489
337.0,6.17335903397521
338.0,6.168922152950685
339.0,6.165533669031532
340.0,6.185889015712462
341.0,6.180403436620523
342.0,6.17491309527918
343.0,6.1942002149619455
344.0,6.189761592370232
345.0,6.186372214819151
346.0,6.182982656411191
347.0,6.178542397518591
