wlc,wll,posc,posm,posme,posmy,order,flag
5282.00882288,5282.00779310,2285.74851056,2285.79606620,0.14311393,86.99320795,116,0
5284.84677962,5284.84255909,0.00000000,2418.00000000,0.00000000,87.63993058,116,4
5285.04933445,5285.04919660,2427.52437943,2427.53086693,0.01488913,87.67340178,116,0
5288.40127747,5288.40146979,2587.03662553,2587.02737379,0.05549064,87.97082178,116,0
5295.50381618,5295.50464489,2937.36153741,2937.31961886,0.04740894,86.88430847,116,0
5298.91940952,5298.92023834,3112.42027662,3112.37724666,0.03067567,85.44787182,116,0
5300.91460461,5300.91520383,3216.84453191,3216.81290629,0.05605849,84.30881210,116,0
5302.04457622,5302.04448804,3276.70368888,3276.70838554,0.04280611,83.56079499,116,0
5304.57035489,5304.56851400,3412.56343499,3412.66360036,0.05044249,81.60767442,116,0
5306.05508103,5306.04644960,0.00000000,3494.00000000,0.00000000,80.27057212,116,5
5308.06432255,5308.06476298,3605.77383133,3605.74910493,0.06962555,78.22888986,116,0
5310.02723860,5310.01852329,0.00000000,3717.00000000,0.00000000,75.96254198,116,4
5311.50285701,5311.51803819,0.00000000,3802.00000000,0.00000000,74.07490222,116,4
5295.50422674,5295.50464489,923.39651165,923.38026529,0.03835969,96.92274259,115,0
5298.91944173,5298.92023834,1057.04461902,1057.01321854,0.03388079,101.08139283,115,0
5300.91402284,5300.91520383,1136.01652671,1135.96956086,0.04773827,103.37686722,115,0
5302.04485072,5302.04448804,1181.04123628,1181.05573164,0.03067276,104.63382247,115,0
5304.57108334,5304.56851400,1282.52022313,1282.62412605,0.02998989,107.32216822,115,0
5306.05896711,5306.04644960,0.00000000,1343.00000000,0.00000000,108.82621171,115,4
5308.06454412,5308.06476298,1425.08124472,1425.07224860,0.03859333,110.75839267,115,0
5310.01864405,5310.01852329,1505.79154417,1505.79655760,0.02689853,112.53260185,115,0
5311.51879982,5311.51803819,1568.26633378,1568.29818933,0.05806282,113.82034164,115,0
5316.75712256,5316.75723042,1790.33249700,1790.32786233,0.02108900,117.78854926,115,0
5320.87310859,5320.87484411,1969.24067740,1969.16441535,0.03705595,120.29704713,115,0
5321.93593832,5321.92339252,0.00000000,2016.00000000,0.00000000,120.85263300,115,4
5325.51079710,5325.51151738,0.00000000,2175.65844727,0.00000000,122.43043394,115,2
5325.60906088,5325.60744890,2180.02151483,2180.09431110,0.34637347,122.46729082,115,0
5326.98466092,5326.98526162,2242.50374196,2242.47639579,0.02308839,122.94564299,115,0
5328.79839181,5328.79833251,2325.50140490,2325.50413450,0.02991087,123.46653151,115,0
5333.06139953,5333.06166288,2524.40595339,2524.39349904,0.03858642,124.17651036,115,0
5334.57837170,5334.57926837,2596.53025264,2596.48742125,0.03147030,124.24643785,115,0
5338.02553370,5338.02595217,2763.12221463,2763.10174809,0.05403083,124.02629989,115,0
5339.74115514,5339.74118923,2847.52983948,2847.52815144,0.03484593,123.71123050,115,0
5342.99216179,5342.99259087,3010.41941762,3010.39765979,0.03438448,122.71638908,115,0
5348.12947724,5348.12865133,3276.13636711,3276.17997766,0.08660667,119.99699542,115,0
5350.47322002,5350.46609996,0.00000000,3401.16516006,0.06465453,118.24772388,115,0
5351.50524339,5351.49903703,0.00000000,3456.99194336,0.00000000,117.36902339,115,2
5351.61576064,5351.61373969,0.00000000,3463.00000000,0.00000000,117.27087271,115,4
5355.84850754,5355.84832753,3697.61566333,3697.62583974,0.06885254,112.89249580,115,0
5357.06938783,5357.06692718,3766.88397849,3767.02468633,0.04384845,111.39338790,115,0
5358.06291791,5358.06313395,3824.13230988,3824.11983839,0.08009762,110.09011406,115,0
5359.81135224,5359.80808404,0.00000000,3926.00000000,0.00000000,107.60756384,115,4
5338.02534084,5338.02595217,773.16580924,773.14264443,0.02374542,128.49090543,114,0
5339.73082258,5339.74118923,0.00000000,838.00000000,0.00000000,130.75235356,114,4
5342.98476187,5342.99259087,0.00000000,963.00000000,0.00000000,134.87878924,114,4
5348.12998803,5348.12865133,1164.19931972,1164.25219896,0.02684719,140.88281269,114,0
5350.47321161,5350.46609996,0.00000000,1257.43984211,0.03714075,143.39663168,114,0
5351.50535715,5351.49903703,0.00000000,1298.80541992,0.00000000,144.45863965,114,2
5351.60974495,5351.61373969,0.00000000,1303.00000000,0.00000000,144.56448261,114,4
5355.84843054,5355.84832753,1475.07152235,1475.07574741,0.04132661,148.61374999,114,0
5357.06923849,5357.06692718,1525.19875518,1525.29410687,0.04345198,149.68790048,114,0
5358.06341486,5358.06313395,1566.39510471,1566.40675195,0.02002718,150.53115802,114,0
5359.80843440,5359.80808404,1639.05467252,1639.06932641,0.03617032,151.94207098,114,0
5366.20480587,5366.20445883,1911.05566946,1911.07068184,0.04981728,156.32430679,114,0
5369.86546205,5369.86586386,0.00000000,2071.00000000,0.00000000,158.23971868,114,4
5372.41311834,5372.40958822,2184.13169390,2184.28982665,0.04252451,159.30078893,114,0
