wlc,wll,posc,posm,posme,posmy,d,sd,k,order,flag
5190.00035833,5190.00553706,0.00000000,2169.77326831,0.24220814,15.08206777,0.01998462,0.01998464,38506,118,1
5190.14763739,5190.14035923,0.00000000,2176.58615107,0.09914093,15.14260182,0.01998466,0.01998464,38505,118,1
5190.26132593,5190.27518840,0.00000000,2181.84935664,0.20839335,15.18875756,0.01998458,0.01998464,38504,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,15.25918092,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,15.29327106,nan,0.00000000,-2147483648,118,1
5190.67787943,nan,0.00000000,2201.16481617,0.17833163,15.35355452,0.01998463,0.01998464,38501,118,1
5190.81164095,nan,0.00000000,2207.37771718,0.22683849,15.40501565,0.01998463,0.01998464,38500,118,1
5190.95153269,5190.94943935,0.00000000,2213.88079571,0.13678412,15.45806707,0.01998464,0.01998464,38499,118,1
5191.09388353,5191.08431055,0.00000000,2220.50391648,0.03216398,15.51123855,0.01998467,0.01998464,38498,118,1
5191.21710132,5191.21918877,0.00000000,2226.24151618,0.10133429,15.55659665,0.01998463,0.01998464,38497,118,1
5191.35318734,5191.35407400,2232.62903167,2232.58768876,0.21808028,15.60600071,0.01998463,0.01998464,38496,118,0
nan,nan,0.00000000,-1.00000000,0.00000000,15.64749721,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,15.67778684,nan,0.00000000,-2147483648,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,15.69281065,nan,0.00000000,-2147483648,118,1
5191.76195029,5191.75877173,0.00000000,2251.66454587,0.16352979,15.74963681,0.01998465,0.01998464,38493,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,15.80290586,nan,0.00000000,-2147483648,118,1
5192.04098608,5192.02860526,0.00000000,2264.71778252,0.20598176,15.84366637,0.01998469,0.01998464,38491,118,1
5192.16813056,5192.16353255,0.00000000,2270.67308690,0.25915912,15.88540817,0.01998466,0.01998464,38490,118,1
5192.29473037,5192.29846685,0.00000000,2276.60756847,0.10112228,15.92627874,0.01998462,0.01998464,38489,118,1
5192.40545327,nan,0.00000000,2281.80164973,0.15717437,15.96145396,0.01998557,0.01998464,38490,118,1
5192.56749580,5192.56835649,2289.45212655,2289.41169228,0.55276310,16.01198163,0.01998463,0.01998464,38487,118,0
5192.70572504,5192.70331183,0.00000000,2295.90570765,0.10722322,16.05414742,0.01998465,0.01998464,38486,118,1
5192.85352398,5192.83827418,0.00000000,2302.85772704,0.06866858,16.09831166,0.01998470,0.01998464,38485,118,1
5192.98514391,5192.97324355,0.00000000,2309.05417399,0.25071486,16.13682272,0.01998468,0.01998464,38484,118,1
nan,nan,0.00000000,-1.00000000,0.00000000,16.17903176,nan,0.00000000,-2147483648,118,1
