x,theta
249.0,6.265365496421822
250.0,6.263978766517354
251.0,6.262591947446175
252.0,6.26120503843083
253.0,6.259818039619482
254.0,6.258430951222074
255.0,6.2570437733761395
256.0,6.255656506630373
257.0,6.254269149388286
258.0,6.252881702910223
259.0,6.250439886509483
260.0,6.247999065499066
261.0,6.269453133493059
262.0,6.268068305444359
263.0,6.262462088987618
264.0,6.283898457826517
265.0,6.282512010724247
266.0,6.281125468487659
267.0,6.27973883907395
268.0,6.278352118794267
269.0,6.276965308877102
270.0,6.275578408943957
271.0,6.274191418310409
272.0,6.272804338498595
273.0,6.271417168763939
274.0,6.270029908473859
275.0,6.26758678589384
276.0,6.265144659014837
277.0,6.263757044265702
278.0,6.262369339802575
279.0,6.260981544214523
280.0,6.28246961652809
281.0,6.278971060634916
282.0,6.275471933445829
283.0,6.29694229301019
284.0,6.29555577456194
285.0,6.294169163311487
286.0,6.292782462113486
287.0,6.290338574623341
288.0,6.287895680982999
289.0,6.286508622470244
290.0,6.285121473201684
291.0,6.283734233482434
292.0,6.282346904154302
293.0,6.280959483384315
294.0,6.279571973497632
295.0,6.277126976963679
296.0,6.274682977191226
297.0,6.2732951126177525
298.0,6.294815462652338
299.0,6.291313765848614
300.0,6.2878114953652045
301.0,6.30931412029323
302.0,6.3079275431142605
303.0,6.30654087407207
304.0,6.304095520764953
305.0,6.301651160027546
306.0,6.300264131229866
307.0,6.298877011101659
308.0,6.2974898010611895
309.0,6.2961024999109085
310.0,6.294715108244745
311.0,6.29226877219795
312.0,6.289823433015215
313.0,6.288435683207503
314.0,6.287047842077534
315.0,6.285659914315055
316.0,6.307212702527693
317.0,6.3037078578041275
318.0,6.300202437096516
319.0,6.320677481566989
320.0,6.318231927530917
321.0,6.316845119055756
322.0,6.315458219660712
323.0,6.314071228744112
324.0,6.312684146880258
325.0,6.310236745749123
326.0,6.307790340498734
327.0,6.306402897748008
328.0,6.3050153635704405
329.0,6.303627740022144
330.0,6.301179622265586
331.0,6.298732502512578
332.0,6.2973445208594185
333.0,6.3189279899972775
334.0,6.315420176176303
335.0,6.311911784122216
336.0,6.333477505263033
337.0,6.3310293196449905
338.0,6.328582126117411
339.0,6.327195184152593
340.0,6.325808152243866
341.0,6.324421028194855
342.0,6.32197211816213
343.0,6.319524205573565
344.0,6.318136718892191
345.0,6.316749140769424
346.0,6.315361471641133
347.0,6.3129118414274785
348.0,6.310463211541872
349.0,6.309075179578812
350.0,6.330689476335621
